JongName,CurJuka,DungRak,Debi,PrevJuka,Volume,Money,StartJuka,HighJuka,LowJuka,High52,Low52,UpJuka,DownJuka,Per,Amount,FaceJuka
삼보모터스,"5,290",5,110,"5,400","381,466","2,028,762,760","5,390","5,460","5,240","6,130","2,270","7,020","3,780",-5.55,"16,782,027",500
삼성SDI보통주,"472,500",5,"1,000","473,500","1,016,793","479,593,089,500","466,500","482,500","464,000","488,000","183,000","615,000","331,500",88.63,"68,764,530","5,000"
삼성공조보통주,"6,530",2,40,"6,490","12,103","79,083,750","6,580","6,620","6,480","9,060","5,040","8,430","4,550",11.01,"8,126,314",500
삼성바이오로직스보통주,"804,000",2,"33,000","771,000","759,669","614,406,539,000","793,000","832,000","783,000","826,000","267,000","1,002,000","540,000",262.15,"66,165,000","2,500"
삼성엔지니어링보통주,"12,350",2,350,"12,000","3,321,612","41,280,127,650","12,100","12,700","12,050","19,900","7,070","15,600","8,400",8.27,"196,000,000","5,000"
삼성전기보통주,"139,000",5,"2,000","141,000","498,370","69,717,560,000","141,500","141,500","139,000","146,000","84,600","183,000","99,000",20.42,"74,693,696","5,000"
삼성제약,"4,225",5,5,"4,230","1,476,643","6,266,119,125","4,250","4,315","4,215","5,180","1,955","5,490","2,965",35.81,"61,549,713",500
삼아제약,"19,500",2,300,"19,200","35,996","690,615,350","19,100","19,700","18,950","21,000","9,860","24,950","13,450",11.67,"6,370,000","1,000"
삼영무역보통주,"13,050",5,50,"13,100","22,033","287,397,300","13,100","13,100","12,950","16,900","10,550","17,000","9,200",6.57,"18,466,948",500
삼영엠텍,"4,195",5,60,"4,255","329,009","1,380,601,360","4,295","4,315","4,150","4,480","2,320","5,530","2,980",15.37,"13,000,000",500
삼영이엔씨,"7,910",2,330,"7,580","52,716","411,191,120","7,570","7,910","7,540","8,180","4,395","9,850","5,310",-7.39,"8,800,000",500
삼원강재 보통주,"2,285",3,0,"2,285","42,007","96,258,150","2,290","2,310","2,275","3,060","1,405","2,970","1,600",8.75,"40,000,000",500
삼일,"1,835",2,5,"1,830","22,253","40,766,590","1,830","1,845","1,805","2,150","1,310","2,375","1,285",8.62,"16,213,590","1,000"
삼일제약보통주,"21,750",5,350,"22,100","190,474","4,164,916,050","21,700","22,300","21,550","24,150","10,100","28,700","15,500",168.6,"6,500,000","1,000"
삼지전자,"12,750",5,50,"12,800","763,435","9,823,277,300","12,950","13,150","12,550","12,800","5,400","16,600","9,000",14.29,"16,318,522",500
삼진,"9,940",2,200,"9,740","108,310","1,073,132,120","9,740","10,050","9,700","12,900","5,950","12,650","6,820",4.92,"6,000,000",500
삼진엘앤디,"3,850",2,50,"3,800","13,487,807","52,257,086,095","3,995","4,100","3,720","3,800","1,180","4,940","2,660",160.42,"24,959,232",500
삼천리자전거,"11,900",5,300,"12,200","329,804","3,942,793,850","12,200","12,350","11,850","13,750","3,220","15,850","8,550",-18.54,"13,273,577",500
삼표시멘트,"3,755",5,40,"3,795","929,749","3,521,181,365","3,805","3,830","3,740","4,095","2,050","4,930","2,660",21.71,"107,357,173",500
삼화네트웍스,"1,400",2,15,"1,385","143,467","199,734,915","1,385","1,415","1,380","1,720",840,"1,800",970,77.78,"43,172,933",200
삼화콘덴서공업보통주,"64,500",2,600,"63,900","362,869","23,711,172,400","65,000","66,400","64,500","68,400","34,500","83,000","44,800",22.33,"10,395,000","1,000"
상보,"1,040",2,5,"1,035","604,612","630,561,030","1,035","1,060","1,030","1,315",514,"1,345",725,-3.62,"46,697,997",500
상상인,"6,380",2,640,"5,740","3,473,188","22,354,228,880","5,930","6,930","5,870","13,350","4,750","7,460","4,020",2.8,"55,328,313","1,000"
상상인인더스트리,808,2,43,765,"502,701","415,561,673",765,925,761,"3,270",649,994,536,-2.88,"63,320,603",500
상신브레이크보통주,"2,705",2,5,"2,700","127,140","342,299,415","2,765","2,765","2,660","4,065","2,050","3,510","1,890",12.88,"21,471,450",500
상신이디피,"13,550",3,0,"13,550","1,630,500","22,100,299,900","13,650","14,150","13,100","13,550","3,705","17,600","9,500",35.66,"12,665,050",500
상아프론테크,"51,300",5,"3,800","55,100","811,960","42,327,399,600","54,200","54,900","51,000","55,100","7,570","71,600","38,600",60.93,"15,724,765",500
새로닉스,"4,860",2,150,"4,710","140,546","678,515,885","4,670","4,970","4,645","5,000","2,385","6,120","3,300",-30.96,"12,423,574",500
새론오토모티브,"4,055",5,115,"4,170","32,516","132,441,335","4,050","4,160","4,020","5,050","2,930","5,420","2,920",-9.36,"19,200,000",500
서린바이오사이언스,"13,800",2,300,"13,500","4,167,472","60,118,382,850","13,650","15,100","13,500","14,500","6,200","17,550","9,450",12.04,"8,000,676",500
서부티엔디,"6,980",5,160,"7,140","394,175","2,760,621,430","7,150","7,160","6,920","9,170","3,770","9,280","5,000",6980,"58,140,444",500
서암기계공업,"4,870",2,15,"4,855","94,112","461,455,290","4,925","4,960","4,855","9,540","2,160","6,310","3,400",28.15,"12,600,000",500
서연보통주,"10,100",5,750,"10,850","3,236,491","34,507,820,940","10,800","11,350","10,100","11,000","1,555","14,100","7,600",-3.66,"23,479,844",500
서연이화보통주,"4,620",5,345,"4,965","886,402","4,169,108,560","4,965","4,965","4,555","6,640","1,835","6,450","3,480",-2.68,"27,028,437",500
서연탑메탈,"3,490",3,0,"3,490","1,818,086","6,398,233,675","3,470","3,645","3,365","3,490","1,250","4,535","2,445",-13.58,"11,650,000",500
서울리거,"1,015",5,25,"1,040","83,380","85,150,170","1,035","1,050","1,010","2,250",584,"1,350",730,-3.95,"34,903,652",500
서울바이오시스,"25,850",2,200,"25,650","1,782,147","45,560,047,150","25,350","26,200","25,000","25,650","6,130","33,300","18,000",175.85,"38,223,653",500
서울반도체,"17,200",5,150,"17,350","1,232,358","21,370,692,100","17,450","17,650","17,050","18,950","10,000","22,550","12,150",28.62,"58,305,400",500
