JongName,CurJuka,DungRak,Debi,PrevJuka,Volume,Money,StartJuka,HighJuka,LowJuka,High52,Low52,UpJuka,DownJuka,Per,Amount,FaceJuka
삼에스코리아,"2,380",5,15,"2,395","262,370","622,957,855","2,380","2,400","2,355","3,795","1,370","3,110","1,680",74.38,"44,802,511",500
AJ네트웍스보통주,"3,270",2,30,"3,240","103,720","338,180,150","3,270","3,300","3,230","5,140","1,970","4,210","2,270",3.33,"46,822,295","1,000"
AK홀딩스보통주,"18,000",2,350,"17,650","31,311","559,321,150","17,700","18,000","17,700","38,000","12,000","22,900","12,400",8.3,"13,247,561","5,000"
에이피에스홀딩스,"9,130",2,300,"8,830","574,955","5,182,407,950","8,880","9,130","8,850","13,800","5,000","11,450","6,190",-61.69,"20,394,221",500
에이피시스템,"25,750",5,50,"25,800","251,482","6,490,138,900","25,900","26,100","25,600","34,450","20,500","33,500","18,100",38.38,"14,480,227",500
에이피위성,"8,300",2,30,"8,270","89,819","736,109,300","8,210","8,310","8,070","8,380","4,850","10,750","5,790",162.75,"15,014,804",500
BYC보통주,"219,500",2,"4,500","215,000","1,213","265,426,000","215,000","222,500","215,000","260,000","135,500","279,500","150,500",6.6,"624,615","5,000"
씨제이이엔엠,"126,000",2,"2,100","123,900","296,895","37,597,218,700","125,400","128,900","123,900","174,000","81,500","161,000","86,800",23.73,"21,929,154","5,000"
씨제이프레시웨이,"15,900",2,350,"15,550","67,267","1,065,920,550","15,450","16,000","15,450","28,800","11,700","20,200","10,900",36.64,"11,871,586","1,000"
CMG제약,"4,585",5,85,"4,670","3,328,661","15,479,868,815","4,675","4,775","4,555","4,790","2,595","6,070","3,270",183.4,"138,892,244",500
씨에스,"2,880",2,160,"2,720","3,656,358","10,716,793,845","2,750","3,035","2,710","3,655","1,260","3,535","1,905",-102.86,"18,835,150",500
씨에스에이코스믹,"4,170",,0,"4,170",0,0,0,0,0,"4,170","4,170","5,420","2,920",-10.78,"37,072,045",500
CS홀딩스보통주,"61,300",5,700,"62,000","5,625","347,994,200","62,200","63,400","61,300","77,800","35,350","80,600","43,400",7.27,"1,154,482","5,000"
DB Inc.보통주,728,2,1,727,"527,037","382,741,170",735,735,722,896,476,945,509,31.65,"201,173,933",500
디엠에스,"7,840",5,20,"7,860","448,759","3,525,406,410","7,950","7,990","7,750","7,860","2,400","10,200","5,510",10.21,"23,062,487",500
디알비동일보통주,"6,700",5,130,"6,830","92,934","628,946,470","6,800","6,910","6,680","8,060","3,030","8,870","4,790",14.53,"19,930,000",500
E1보통주,"38,650",5,150,"38,800","15,397","596,207,900","38,850","39,250","38,350","50,800","22,400","50,400","27,200",-5.18,"6,860,000","5,000"
이원다이애그노믹스,"16,450",5,"1,100","17,550","2,939,060","48,963,572,450","16,250","17,150","16,250","19,800","4,820","22,800","12,300",-69.41,"38,565,361",100
이지,"9,000",2,170,"8,830","101,906","916,758,540","8,810","9,240","8,810","9,840","4,790","11,450","6,190",-90.91,"7,500,000","1,000"
이엠따블유,"2,780",,0,"2,780",0,0,0,0,0,"2,780","2,780","3,610","1,950",23.17,"31,784,197",500
지에이치신소재,"3,770",2,5,"3,765","271,705","1,035,023,455","3,825","3,900","3,740","4,880","2,155","4,890","2,640",18.48,"11,000,000",500
그랜드코리아레저보통주,"13,100",2,150,"12,950","533,417","6,942,486,250","13,050","13,100","12,900","22,250","10,900","16,800","9,100",11.2,"61,855,670",500
그레이트리치과기유한공사,"1,320",5,15,"1,335","131,171","173,124,285","1,340","1,340","1,310","2,670",917,"1,735",935,,"67,375,000",0
글로벌스탠다드테크놀로지,"20,300",5,250,"20,550","140,436","2,853,603,650","20,500","20,600","20,200","22,450","6,120","26,700","14,400",10.1,"9,317,745",500
지에스글로벌보통주,"1,730",2,10,"1,720","350,405","606,666,275","1,735","1,760","1,715","2,590",993,"2,235","1,205",-8.36,"82,533,764","2,500"
지에스리테일보통주,"33,850",2,500,"33,350","257,231","8,670,657,200","33,350","34,000","33,250","43,850","25,950","43,350","23,350",19.58,"77,000,000","1,000"
지에스홈쇼핑,"114,300",2,"1,200","113,100","41,747","4,763,029,200","114,300","114,900","113,500","163,100","88,600","147,000","79,200",6.23,"6,562,500","5,000"
금빛,784,2,1,783,"344,273","270,924,818",783,804,775,"3,955",753,"1,015",549,-.67,"48,350,590",500
에이치비테크놀러지,"2,215",2,10,"2,205","737,792","1,633,246,710","2,215","2,245","2,200","3,325","1,635","2,865","1,545",54.02,"78,990,426",500
HDC보통주,"11,250",5,50,"11,300","507,917","5,670,209,400","11,050","11,350","10,950","13,250","6,880","14,650","7,950",2.52,"59,741,721","5,000"
에이치디씨아이콘트롤스보통주,"8,600",5,70,"8,670","43,192","372,105,720","8,660","8,700","8,560","13,500","5,050","11,250","6,070",-24.02,"16,460,000",500
에이치디씨현대이피보통주,"4,970",2,250,"4,720","1,302,451","6,533,124,270","5,250","5,350","4,785","5,060","2,005","6,130","3,305",11.17,"31,900,000",500
HDC현대산업개발보통주,"22,400",5,400,"22,800","1,056,398","23,763,284,250","22,600","22,850","22,100","36,100","12,600","29,600","16,000",2.57,"65,907,330","5,000"
에이치알에스,"3,300",2,60,"3,240","121,236","399,407,495","3,250","3,340","3,225","4,200","1,275","4,210","2,270",55,"16,354,800",500
에이치에스디엔진보통주,"4,930",2,65,"4,865","691,671","3,414,875,140","4,880","5,030","4,875","5,600","1,895","6,320","3,410",-3.92,"32,947,142","1,000"
아이에스시,"20,950",5,650,"21,600","383,315","8,062,133,850","21,900","21,900","20,700","22,600","5,920","28,050","15,150",67.36,"14,142,508",500
아이티엑스엠투엠,"1,695",5,35,"1,730","137,428","234,121,850","1,750","1,760","1,665","2,500","1,180","2,245","1,215",-5.49,"29,187,677",500
JW생명과학보통주,"20,250",5,300,"20,550","276,700","5,685,750,350","20,500","21,050","20,150","24,800","10,700","26,700","14,400",14.62,"15,834,554","2,500"
제이더블유신약,"5,820",2,60,"5,760","609,377","3,567,538,340","5,760","6,050","5,760","5,910","2,795","7,480","4,040",166.29,"41,667,166",500
JW중외제약보통주,"38,750",2,"1,450","37,300","1,634,103","64,879,791,200","37,000","41,800","37,000","41,500","19,400","48,450","26,150",-32.4,"20,920,054","2,500"
JW홀딩스 보통주,"5,600",2,50,"5,550","237,530","1,343,055,340","5,550","5,730","5,550","6,830","3,700","7,210","3,890",-11.11,"66,452,155",500
제이와이피엔터테인먼트,"35,200",5,200,"35,400","1,382,162","49,188,918,650","35,150","36,800","34,400","35,400","15,350","46,000","24,800",37.17,"35,494,992",500
케이비아이메탈,"1,310",2,25,"1,285","162,574","212,088,575","1,285","1,320","1,285","1,780",745,"1,670",900,6.68,"32,950,848",500
KB오토시스,"6,540",3,0,"6,540","8,217","53,516,850","6,540","6,640","6,420","6,880","4,195","8,500","4,580",7.03,"11,500,000",500
케이씨씨건설,"8,120",2,70,"8,050","110,451","891,802,560","8,060","8,250","7,950","8,050","3,600","10,450","5,640",6.16,"21,400,000","5,000"
케이씨아이,"10,950",2,150,"10,800","116,267","1,264,855,350","10,850","10,950","10,700","11,000","5,870","14,000","7,600",10.32,"11,270,000",500
케이씨그린홀딩스보통주,"4,360",5,20,"4,380","134,637","583,703,610","4,370","4,425","4,295","5,220","2,320","5,690","3,070",11.82,"22,434,980",500
케이씨코트렐보통주,"6,170",5,40,"6,210","249,077","1,540,770,780","6,200","6,270","6,150","7,340","2,685","8,070","4,350",41.41,"13,000,000",500
KD,495,,0,495,0,0,0,0,0,495,495,643,347,-11,"78,353,304",500
케이이씨 보통주,805,5,7,812,"357,506","290,186,418",809,817,805,"1,230",481,"1,055",569,-4.82,"116,706,940",500
케이지이티에스,"4,835",2,390,"4,445","6,340,700","29,723,071,645","4,495","4,860","4,425","4,745","2,185","5,770","3,115",1.73,"36,000,000",500
케이지모빌리언스,"10,900",2,200,"10,700","1,437,961","15,882,805,150","11,000","11,300","10,750","13,800","3,145","13,900","7,500",17.61,"38,825,568",500
케이지이니시스,"23,450",3,0,"23,450","748,722","17,867,274,300","23,700","24,450","23,350","25,950","13,250","30,450","16,450",12.7,"27,904,434",500
KG케미칼보통주,"22,900",2,"1,050","21,850","3,032,443","71,945,959,050","22,800","25,750","22,200","21,950","8,300","28,400","15,300",2.98,"13,013,232","5,000"
케이에이치바텍,"22,950",5,250,"23,200","507,831","11,638,366,150","23,300","23,350","22,700","25,950","8,140","30,150","16,250",-44.31,"23,637,484",500
KISCO홀딩스보통주,"11,200",3,0,"11,200","21,437","239,246,550","11,050","11,300","11,050","13,450","8,030","14,550","7,850",3.85,"18,476,380","1,000"
케이엠에이치,"8,110",2,40,"8,070","111,416","894,967,710","8,040","8,120","7,960","8,160","4,285","10,450","5,650",12.14,"22,667,982",500
케이엠에이치하이텍,"1,285",2,5,"1,280","694,786","886,461,840","1,280","1,290","1,260","1,370",629,"1,660",900,26.77,"46,885,499",500
케이엔엔,"1,665",5,10,"1,675","2,271,394","3,763,917,480","1,675","1,680","1,635","1,850",616,"2,175","1,175",27.3,"132,429,720",500
케이피엑스라이프사이언스,"7,070",5,40,"7,110","174,095","1,246,217,980","7,110","7,300","7,050","10,750","3,310","9,240","4,980",88.38,"15,000,000",500
KPX케미칼보통주,"45,950",2,350,"45,600","6,184","282,480,000","45,950","46,000","45,400","58,300","36,450","59,200","31,950",5.36,"4,840,000","5,000"
KPX홀딩스보통주,"42,700",3,0,"42,700","3,975","169,843,250","42,750","43,200","42,550","56,000","35,800","55,500","29,900",5.08,"4,224,646","5,000"
KR모터스보통주,702,5,16,718,"1,184,041","841,331,123",711,734,697,"1,035",242,933,503,-1.01,"91,661,018",500
케이에스에스 해운 보통주,"8,590",5,30,"8,620","52,871","451,697,840","8,570","8,690","8,500","8,800","5,640","11,200","6,040",8.31,"23,185,880",500
케이티비투자증권보통주,"3,005",2,55,"2,950","2,024,816","6,274,304,705","3,090","3,280","2,970","2,950","1,505","3,835","2,065",4.41,"60,314,092","5,000"
케이티하이텔,"5,420",5,120,"5,540","175,556","956,150,500","5,540","5,570","5,400","8,010","3,370","7,200","3,880",135.5,"35,715,022","1,000"
케이티씨에스보통주,"1,985",2,5,"1,980","730,202","1,453,625,875","2,005","2,020","1,950","2,330","1,195","2,570","1,390",11.15,"42,685,000",500
케이티아이에스보통주,"2,340",5,50,"2,390","369,232","872,497,590","2,395","2,395","2,330","2,390","1,240","3,105","1,675",8.6,"34,802,000",500
케이티서브마린,"4,555",2,60,"4,495","589,325","2,695,087,425","4,560","4,665","4,490","5,250","1,965","5,840","3,150",189.79,"21,900,000","1,000"
LG디스플레이보통주,"13,150",3,0,"13,150","3,370,722","44,237,420,250","13,200","13,350","12,900","16,600","8,900","17,050","9,250",-1.66,"357,815,700","5,000"
LG생활건강보통주,"1,573,000",2,"128,000","1,445,000","93,194","145,374,431,000","1,455,000","1,600,000","1,452,000","1,475,000","1,066,000","1,878,000","1,012,000",33.88,"15,618,197","5,000"
LG유플러스보통주,"11,900",5,300,"12,200","3,973,109","47,664,513,550","12,250","12,250","11,900","14,550","9,430","15,850","8,550",11.84,"436,611,361","5,000"
LG전자보통주,"83,000",5,"2,700","85,700","1,682,849","141,251,253,900","86,300","86,300","83,000","85,700","41,850","111,000","60,000",491.12,"163,647,814","5,000"
엘지헬로비전보통주,"4,065",2,60,"4,005","295,002","1,194,798,820","4,005","4,090","4,005","6,600","2,420","5,200","2,805",-3.34,"77,446,865","2,500"
LIG넥스원보통주,"35,300",2,"1,400","33,900","179,254","6,263,300,550","35,550","35,550","34,300","36,300","16,100","44,050","23,750",243.45,"22,000,000","5,000"
LS네트웍스보통주,"2,290",2,90,"2,200","319,347","729,839,720","2,200","2,420","2,180","2,815","1,220","2,860","1,540",-2.44,"78,803,016","5,000"
MH에탄올보통주,"8,320",5,140,"8,460","129,624","1,081,046,600","8,480","8,530","8,230","11,100","5,810","10,950","5,930",-105.32,"7,378,526",500
엠피한강,"1,185",5,10,"1,195","649,404","769,599,340","1,200","1,210","1,175","1,680",417,"1,550",840,-21.55,"57,370,063",100
NAVER보통주,"311,500",5,"2,000","313,500","662,173","206,479,088,000","311,000","314,500","307,500","322,000","139,000","407,500","219,500",77.76,"164,263,395",100
넥스트엔터테인먼트월드,"4,740",2,10,"4,730","148,502","702,563,990","4,685","4,770","4,680","6,480","1,815","6,140","3,315",-15.34,"27,906,106",500
엔이능률,"2,785",2,10,"2,775","77,040","213,591,205","2,775","2,805","2,750","5,270","1,940","3,605","1,945",47.2,"16,072,037",500
엔에이치엔벅스,"4,675",5,5,"4,680","12,194","56,744,375","4,695","4,770","4,630","6,420","2,815","6,080","3,280",13.71,"14,827,550",500
엔에이치엔한국사이버결제,"66,200",2,700,"65,500","590,124","39,968,489,200","65,500","70,500","65,200","67,600","18,700","85,100","45,900",59.69,"22,971,393",500
NICE보통주,"20,350",2,500,"19,850","60,707","1,222,572,900","19,900","20,400","19,900","22,700","13,200","25,800","13,900",26.39,"37,882,300",500
나이스평가정보,"20,850",2,450,"20,400","183,804","3,794,311,150","20,250","20,850","20,250","22,600","11,000","26,500","14,300",30.57,"60,714,820",500
온코퀘스트파마슈티컬,"6,420",2,650,"5,770","15,101,330","96,721,886,000","5,860","6,870","5,790","5,770",608,"7,500","4,040",-56.32,"75,280,333",200
피엔풍년,"4,320",5,275,"4,595","692,162","3,037,060,715","4,470","4,620","4,175","4,595","1,315","5,970","3,220",7.49,"10,000,000",500
에스엔케이폴리텍,"5,680",5,70,"5,750","71,958","409,850,880","5,750","5,770","5,640","10,000","4,210","7,470","4,030",4.15,"11,703,721",500
S-Oil보통주,"64,000",2,"2,600","61,400","1,735,531","112,255,804,900","62,400","66,200","62,300","106,000","48,500","79,800","43,000",114.08,"112,582,792","2,500"
SBI핀테크솔루션즈,"7,040",2,20,"7,020","29,949","210,246,580","7,020","7,060","6,960","11,400","5,540","9,120","4,920",0,"24,656,540",0
에스비에스보통주,"16,100",2,300,"15,800","79,903","1,272,277,350","15,800","16,100","15,700","25,900","13,550","20,500","11,100",14.45,"18,252,582","5,000"
SBS미디어홀딩스보통주,"1,885",2,5,"1,880","54,984","103,397,035","1,890","1,890","1,870","2,255","1,575","2,440","1,320",-2.48,"139,896,190",500
에스비에스콘텐츠허브,"6,160",2,80,"6,080","104,633","645,028,330","6,100","6,230","6,080","6,530","4,125","7,900","4,260",236.92,"21,463,555",500
에스씨아이평가정보,"5,230",5,130,"5,360","589,078","3,087,347,450","5,310","5,350","5,180","6,110","1,245","6,960","3,760",37.09,"35,500,000",500
에스디엔,"2,485",2,60,"2,425","1,035,257","2,573,498,770","2,425","2,530","2,425","3,220","1,235","3,150","1,700",26.72,"48,178,714",500
에스에프에이반도체,"5,870",5,30,"5,900","2,894,411","17,054,407,790","5,890","6,010","5,840","6,340","2,470","7,670","4,130",40.21,"164,460,303",500
에스지이,"2,440",5,25,"2,465","461,624","1,131,253,495","2,520","2,530","2,365","3,235",912,"3,200","1,730",8.5,"36,720,027",100
에스지엔지,"1,465",2,15,"1,450","111,179","161,816,285","1,460","1,470","1,445","2,115",819,"1,885","1,015",29.9,"34,087,196",500
에스지에이,574,3,0,574,"73,188","42,001,109",579,579,567,860,327,746,402,-1.66,"48,362,249","1,000"
에스지에이 솔루션즈,809,5,11,820,"122,478","99,164,299",820,821,801,"1,470",379,"1,065",574,-1.15,"36,676,033",100
에스지충방 보통주,"1,700",2,15,"1,685","331,523","554,989,160","1,680","1,700","1,655","2,080",663,"2,190","1,180",100,"44,964,143",500
SH에너지화학보통주,838,2,2,836,"833,905","697,238,624",834,842,831,"1,620",507,"1,085",586,-32.23,"111,133,730",500
SIMPAC보통주,"2,400",5,5,"2,405","76,375","184,355,895","2,395","2,435","2,380","3,895","1,745","3,125","1,685",15.29,"65,429,516",500
에스케이씨 솔믹스,"6,190",2,370,"5,820","8,477,419","52,006,292,200","5,850","6,430","5,760","5,820","1,760","7,560","4,080",1031.67,"61,494,040",500
SK가스보통주,"93,800",2,500,"93,300","32,383","3,027,469,800","93,600","94,500","92,500","93,300","49,200","121,000","65,400",5.27,"9,230,244","5,000"
SK네트웍스보통주,"5,280",2,50,"5,230","932,726","4,941,673,730","5,230","5,360","5,220","6,100","4,015","6,790","3,670",-9.65,"248,187,647","2,500"
에스케이 머티리얼즈,"250,200",5,"6,300","256,500","83,605","21,022,357,700","259,900","260,000","248,500","256,500","116,900","333,400","179,600",18.52,"10,547,673",500
SK바이오랜드,"29,400",5,200,"29,600","322,780","9,512,101,850","30,000","30,000","29,200","44,000","12,200","38,450","20,750",40.66,"15,000,000",500
SK케미칼보통주,"401,000",5,500,"401,500","567,056","225,581,299,500","401,500","414,500","384,500","401,500","42,050","521,000","281,500",500,"11,741,396","5,000"
에스케이하이닉스보통주,"81,300",5,100,"81,400","3,225,177","263,067,388,100","81,700","82,000","81,000","105,000","69,000","105,500","57,000",27.62,"728,002,365","5,000"
에스엠컬처앤콘텐츠,"1,745",5,30,"1,775","450,245","784,214,170","1,770","1,770","1,720","1,890",804,"2,305","1,245",43.63,"94,610,120",500
에스엠라이프디자인그룹,"1,965",5,10,"1,975","1,103,001","2,174,303,210","1,985","2,000","1,950","3,415",860,"2,565","1,385",-29.33,"45,029,154",500
SPC삼립보통주,"63,500",2,500,"63,000","12,265","781,015,300","62,900","64,200","62,700","101,500","40,650","81,900","44,100",25.48,"8,629,009","5,000"
STX엔진보통주,"5,790",5,10,"5,800","12,012","69,665,430","5,750","5,880","5,750","8,460","3,630","7,540","4,060",7.86,"23,008,904","2,500"
TCC스틸보통주,"2,415",5,10,"2,425","842,562","1,961,814,725","2,350","2,415","2,250","2,970","1,085","3,150","1,700",10.5,"23,000,000","1,000"
더이앤엠,689,5,65,754,"5,420,579","3,758,541,726",745,748,673,"1,215",381,980,528,-17.67,"124,348,176",100
더 미동,"1,755",5,5,"1,760","23,813","41,693,295","1,760","1,765","1,735","2,645","1,285","2,285","1,235",-7.31,"13,791,786",500
티제이미디어,"2,730",2,10,"2,720","22,208","60,264,420","2,760","2,760","2,670","3,470","2,335","3,535","1,905",42.66,"13,931,609",500
티피씨메카트로닉스,"3,680",2,10,"3,670","57,113","207,532,610","3,670","3,725","3,605","6,650","1,635","4,770","2,570",-11.76,"13,480,276",500
유씨아이,"2,665",5,230,"2,895","1,097,596","3,008,312,815","2,895","2,895","2,645","4,805","2,400","3,760","2,030",-7.18,"33,115,421",500
더블유홀딩컴퍼니,260,5,4,264,"3,129,694","813,170,662",264,265,257,580,169,343,185,-2,"232,418,093",100
와이비엠넷,"6,680",5,150,"6,830","348,922","2,360,043,340","6,770","6,950","6,670","11,050","3,175","8,870","4,790",60.73,"16,312,697",500
와이지플러스보통주,"3,855",5,105,"3,960","2,373,838","9,238,863,530","3,900","4,010","3,825","4,105",701,"5,140","2,775",-68.84,"58,170,704",500
와이티엔,"2,995",5,15,"3,010","75,029","223,704,210","3,010","3,090","2,950","3,015","1,150","3,910","2,110",-85.57,"42,000,000","1,000"
와이더블유,"3,785",2,25,"3,760","11,412","43,023,015","3,720","3,795","3,720","4,065","2,560","4,885","2,635",17.36,"11,355,368",500
아이엠비씨,"2,705",5,70,"2,775","253,331","684,368,750","2,775","2,790","2,670","2,920","1,325","3,605","1,945",29.09,"23,000,000",500
가비아,"17,600",2,250,"17,350","325,586","5,684,865,350","17,400","17,750","17,100","17,900","6,870","22,550","12,150",21.31,"13,535,684",500
가온미디어,"5,990",2,40,"5,950","143,484","857,518,000","5,960","6,020","5,940","10,500","3,500","7,730","4,170",4.88,"15,074,293",500
강남제비스코보통주,"15,450",2,50,"15,400","12,026","186,061,700","15,400","15,650","15,250","23,400","11,650","20,000","10,800",6.87,"6,500,000","1,000"
강스템바이오텍,"9,130",2,110,"9,020","385,323","3,520,517,310","9,020","9,250","9,010","15,300","5,130","11,700","6,320",-7.72,"20,979,437",500
강원,"2,500",,0,"2,500",0,0,0,0,0,"4,245","1,800","3,250","1,750",-1.2,"18,154,911",500
갤럭시아에스엠보통주,"1,650",5,95,"1,745","336,662","551,800,300","1,705","1,725","1,575","2,855",743,"2,265","1,225",-33,"27,549,644",500
갤럭시아커뮤니케이션즈,"4,850",5,160,"5,010","382,027","1,875,831,155","5,010","5,100","4,790","5,620","1,700","6,510","3,510",20.82,"39,229,838",500
게임빌,"35,200",5,"2,650","37,850","259,208","9,224,674,600","39,100","39,150","34,400","38,900","13,700","49,200","26,500",16.68,"6,595,192",500
경남제약,"7,190",2,90,"7,100","157,004","1,121,944,920","7,050","7,210","7,050","17,200","4,560","9,230","4,970",-24.54,"17,442,567",500
경남제약헬스케어,"3,320",,0,"3,320",0,0,0,0,0,"3,320",125,"999,999,999","-99,999,999",-7.9,"11,396,461",100
경농보통주,"18,550",2,400,"18,150","1,480,640","26,772,359,750","18,450","18,700","17,450","18,150","5,950","23,550","12,750",73.03,"21,691,750",500
경동나비엔보통주,"53,800",2,"1,600","52,200","120,566","6,453,667,300","52,300","54,500","51,800","54,500","26,500","67,800","36,600",24.38,"12,739,510","1,000"
경동인베스트보통주,"27,950",3,0,"27,950","5,504","154,181,350","28,100","28,350","27,800","39,600","18,000","36,300","19,600",6.98,"2,365,023","5,000"
경동제약,"13,050",5,450,"13,500","441,149","5,829,051,600","13,300","13,550","12,950","17,300","5,880","17,550","9,450",15.35,"26,550,000",500
경보제약보통주,"12,150",5,150,"12,300","655,248","8,073,007,700","12,150","12,650","11,900","12,350","4,670","15,950","8,650",54.98,"23,906,860",500
경인양행보통주,"9,300",5,110,"9,410","1,973,923","18,506,384,020","9,450","9,570","9,220","10,050","3,695","12,200","6,590",27.03,"41,196,365",500
경창산업,"1,050",2,20,"1,030","158,722","168,455,410","1,030","1,075","1,025","1,500",610,"1,335",725,-.5,"35,819,005",500
계룡건설산업보통주,"27,300",5,600,"27,900","196,358","5,421,044,200","27,850","28,350","27,300","28,250","8,900","36,250","19,550",3.26,"8,930,907","5,000"
계양전기보통주,"3,245",2,10,"3,235","1,229,407","4,005,302,550","3,210","3,315","3,180","3,640","1,690","4,205","2,265",811.25,"32,600,000",500
고려신용정보,"5,470",3,0,"5,470","42,780","235,419,060","5,560","5,580","5,470","6,470","3,965","7,110","3,830",11.49,"14,300,000",500
고려제약,"11,800",5,450,"12,250","288,455","3,425,965,600","12,150","12,250","11,650","14,150","5,100","15,900","8,600",33.05,"11,000,000",500
고영테크놀러지,"97,600",5,"2,100","99,700","59,464","5,818,699,200","99,900","100,700","96,500","113,600","65,700","129,600","69,800",44.53,"13,730,951",500
골프존,"72,900",5,300,"73,200","41,872","3,049,720,900","73,500","74,300","72,200","79,000","29,850","95,100","51,300",28.2,"6,275,415",500
골프존뉴딘홀딩스,"6,660",2,260,"6,400","517,585","3,376,446,400","6,260","6,700","6,220","6,490","1,725","8,320","4,480",-8.86,"42,836,818",500
광동제약보통주,"9,470",2,130,"9,340","4,043,758","39,469,442,040","9,340","10,150","9,330","10,300","3,950","12,100","6,540",16.27,"52,420,851","1,000"
광림,"1,780",2,55,"1,725","877,803","1,550,424,770","1,735","1,800","1,720","2,830","1,425","2,240","1,210",-14.71,"52,922,234",500
광명전기보통주,"1,870",2,10,"1,860","206,498","387,794,240","1,865","1,895","1,865","2,520","1,080","2,415","1,305",10.11,"43,337,615",500
광전자보통주,"2,280",5,45,"2,325","378,589","867,807,705","2,325","2,330","2,275","2,575","1,130","3,020","1,630",34.55,"57,943,763",500
광주신세계보통주,"139,000",2,"1,000","138,000","1,208","168,074,000","137,500","140,000","137,500","178,000","119,000","179,000","97,000",4.64,"1,600,000","5,000"
광진윈텍,"3,030",5,30,"3,060","54,848","165,108,490","3,070","3,105","2,965","3,425","1,830","3,975","2,145",13.59,"9,658,393",500
구영테크,"1,665",5,35,"1,700","711,330","1,182,544,755","1,685","1,695","1,640","1,960",900,"2,210","1,190",12.24,"26,394,174",500
국도화학보통주,"39,350",5,350,"39,700","18,986","752,167,900","40,050","40,250","39,250","49,100","33,400","51,600","27,800",6.33,"5,810,616","5,000"
국순당,"4,310",2,170,"4,140","102,591","431,866,295","4,185","4,315","4,100","4,500","2,505","5,380","2,900",-14.61,"17,858,304",500
국영지앤엠,"2,380",2,10,"2,370","674,014","1,624,246,100","2,360","2,445","2,360","3,170","1,245","3,080","1,660",74.38,"34,895,243",500
국일제지,"5,470",5,80,"5,550","2,262,222","12,496,459,790","5,510","5,600","5,470","8,210","4,000","7,210","3,890",-17.04,"126,348,384",100
굿센,"10,000",2,710,"9,290",4,"36,870","8,210","10,450","8,210","15,550","6,560","10,650","7,900",0,"1,457,951",500
그린케미칼보통주,"3,605",2,55,"3,550","89,015","319,534,985","3,560","3,630","3,560","3,960","2,360","4,615","2,485",15.28,"24,000,000",500
극동유화보통주,"3,140",5,10,"3,150","154,417","486,785,230","3,150","3,195","3,140","5,800","2,045","4,095","2,205",7.44,"34,869,420",500
글로벌에스엠테크리미티드,543,2,8,535,"153,101","83,276,482",535,558,528,791,349,695,375,0,"53,743,968",0
글로벌텍스프리,"2,720",2,35,"2,685","81,119","219,472,190","2,685","2,730","2,685","4,385","2,415","3,490","1,880",16.69,"38,795,339",500
글로본,"3,325",2,10,"3,315","105,619","350,726,535","3,315","3,360","3,275","3,830","1,450","4,305","2,325",-10.29,"29,083,136",500
글로스퍼랩스,287,2,27,260,"8,950,152","2,566,643,403",258,306,257,630,166,338,182,-5.63,"73,558,840",500
금양보통주,"4,585",5,445,"5,030","941,922","4,426,138,105","4,980","5,050","4,485","5,030","1,755","6,530","3,530",-16.43,"44,048,135",500
금호석유화학보통주,"96,000",5,"1,200","97,200","294,865","28,932,514,800","97,600","101,500","96,000","97,200","43,950","126,000","68,100",9.1,"30,467,691","5,000"
금호에이치티보통주,"2,035",5,65,"2,100","1,871,431","3,789,993,150","2,000","2,070","1,995","7,940","1,850","2,730","1,470",-2035,"28,877,149",500
금호전기보통주,"3,350",3,0,"3,350","60,926","203,785,450","3,345","3,390","3,310","5,010","1,500","4,355","2,345",-.86,"11,981,820",500
금호타이어보통주,"2,930",2,80,"2,850","778,490","2,253,529,480","2,830","2,930","2,830","4,465","2,730","3,705","1,995",-14.58,"287,260,287","5,000"
금화피에스시,"24,550",5,250,"24,800","4,276","105,310,900","24,800","24,950","24,400","30,850","19,800","32,200","17,400",5.32,"6,000,000",500
기가레인,"1,060",2,25,"1,035","629,225","664,474,540","1,025","1,075","1,025","1,750",606,"1,345",725,-1.19,"52,276,120",500
나노,"1,395",5,10,"1,405","138,130","193,370,965","1,410","1,415","1,395","2,375",900,"1,825",985,77.5,"25,797,855",500
나노브릭,"19,100",2,200,"18,900","13,610","260,102,250","19,600","19,650","18,700","19,750","6,060","24,550","13,250",-101.06,"4,560,103","1,000"
나노스,"3,970",5,25,"3,995","206,288","825,226,015","4,010","4,050","3,955","5,910","3,085","5,190","2,800",-26.82,"148,625,347",100
나노신소재,"48,650",2,150,"48,500","1,603,352","77,993,131,400","49,650","52,200","46,100","48,500","7,600","63,000","33,950",89.93,"10,848,333",500
나노엔텍,"11,550",5,450,"12,000","908,135","10,581,315,200","11,800","11,900","11,400","12,900","3,145","15,600","8,400",52.74,"26,762,927",500
나노캠텍,"2,130",5,70,"2,200","740,243","1,580,280,945","2,200","2,210","2,060","5,060","1,340","2,860","1,540",-2.8,"28,080,425",500
나무가,"21,850",2,900,"20,950","401,774","8,502,667,000","21,200","21,850","20,200","49,800","8,200","27,200","14,700",-383.33,"6,871,090",500
나무기술,"3,930",2,110,"3,820","965,486","3,777,037,100","3,805","3,955","3,805","4,685","1,905","4,965","2,675",30,"32,145,466",100
나스미디어,"32,600",2,"1,650","30,950","175,300","5,668,687,700","31,300","32,750","31,150","41,600","18,400","40,200","21,700",13.8,"8,754,691",500
